"確定病名","縣市","性別","是否為境外移入","年齡層","個案研判日","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","南投縣","男","否","55-59","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台中市","女","否","15-19","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台中市","女","否","30-34","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台中市","女","否","45-49","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台中市","女","否","55-59","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台中市","男","否","15-19","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台中市","男","否","20-24","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台中市","男","否","50-54","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台中市","男","否","70+","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台北市","女","否","10-14","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台北市","女","否","15-19","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","台北市","女","否","20-24","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","台北市","女","否","25-29","2021/05/24",5,NA
"嚴重特殊傳染性肺炎","台北市","女","否","30-34","2021/05/19",4,5
"嚴重特殊傳染性肺炎","台北市","女","否","30-34","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","台北市","女","否","35-39","2021/05/24",7,NA
"嚴重特殊傳染性肺炎","台北市","女","否","40-44","2021/05/24",6,NA
"嚴重特殊傳染性肺炎","台北市","女","否","45-49","2021/05/22",23,24
"嚴重特殊傳染性肺炎","台北市","女","否","45-49","2021/05/24",10,NA
"嚴重特殊傳染性肺炎","台北市","女","否","5-9","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台北市","女","否","50-54","2021/05/17",22,23
"嚴重特殊傳染性肺炎","台北市","女","否","50-54","2021/05/24",21,NA
"嚴重特殊傳染性肺炎","台北市","女","否","55-59","2021/05/23",11,12
"嚴重特殊傳染性肺炎","台北市","女","否","55-59","2021/05/24",15,NA
"嚴重特殊傳染性肺炎","台北市","女","否","60-64","2021/05/22",17,18
"嚴重特殊傳染性肺炎","台北市","女","否","60-64","2021/05/24",12,NA
"嚴重特殊傳染性肺炎","台北市","女","否","65-69","2021/05/24",11,NA
"嚴重特殊傳染性肺炎","台北市","女","否","70+","2021/05/24",10,NA
"嚴重特殊傳染性肺炎","台北市","男","否","0","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台北市","男","否","10-14","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台北市","男","否","15-19","2021/05/24",3,NA
"嚴重特殊傳染性肺炎","台北市","男","否","20-24","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","台北市","男","否","25-29","2021/05/24",3,NA
"嚴重特殊傳染性肺炎","台北市","男","否","30-34","2021/05/24",3,NA
"嚴重特殊傳染性肺炎","台北市","男","否","35-39","2021/05/24",8,NA
"嚴重特殊傳染性肺炎","台北市","男","否","40-44","2021/05/20",3,4
"嚴重特殊傳染性肺炎","台北市","男","否","40-44","2021/05/24",7,NA
"嚴重特殊傳染性肺炎","台北市","男","否","45-49","2021/05/17",1,2
"嚴重特殊傳染性肺炎","台北市","男","否","45-49","2021/05/24",5,NA
"嚴重特殊傳染性肺炎","台北市","男","否","50-54","2021/05/22",17,18
"嚴重特殊傳染性肺炎","台北市","男","否","50-54","2021/05/23",6,7
"嚴重特殊傳染性肺炎","台北市","男","否","50-54","2021/05/24",11,NA
"嚴重特殊傳染性肺炎","台北市","男","否","55-59","2021/05/24",19,NA
"嚴重特殊傳染性肺炎","台北市","男","否","60-64","2021/05/24",18,NA
"嚴重特殊傳染性肺炎","台北市","男","否","65-69","2021/05/23",10,9
"嚴重特殊傳染性肺炎","台北市","男","否","65-69","2021/05/24",28,NA
"嚴重特殊傳染性肺炎","台北市","男","否","70+","2021/05/23",19,18
"嚴重特殊傳染性肺炎","台北市","男","否","70+","2021/05/24",28,NA
"嚴重特殊傳染性肺炎","台南市","女","否","40-44","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台南市","女","否","5-9","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","台南市","男","否","55-59","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","30-34","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","45-49","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","65-69","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","20-24","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","40-44","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","45-49","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","65-69","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","屏東縣","男","否","55-59","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","屏東縣","男","否","60-64","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","40-44","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","50-54","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","55-59","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","60-64","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","70+","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","30-34","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","45-49","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","55-59","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","65-69","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","10-14","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","15-19","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","新北市","女","否","20-24","2021/05/24",3,NA
"嚴重特殊傳染性肺炎","新北市","女","否","25-29","2021/05/22",9,8
"嚴重特殊傳染性肺炎","新北市","女","否","25-29","2021/05/24",3,NA
"嚴重特殊傳染性肺炎","新北市","女","否","3","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","30-34","2021/05/19",3,2
"嚴重特殊傳染性肺炎","新北市","女","否","30-34","2021/05/24",7,NA
"嚴重特殊傳染性肺炎","新北市","女","否","35-39","2021/05/24",16,NA
"嚴重特殊傳染性肺炎","新北市","女","否","40-44","2021/05/24",11,NA
"嚴重特殊傳染性肺炎","新北市","女","否","45-49","2021/05/22",14,13
"嚴重特殊傳染性肺炎","新北市","女","否","45-49","2021/05/24",11,NA
"嚴重特殊傳染性肺炎","新北市","女","否","50-54","2021/05/17",11,10
"嚴重特殊傳染性肺炎","新北市","女","否","50-54","2021/05/24",13,NA
"嚴重特殊傳染性肺炎","新北市","女","否","55-59","2021/05/23",13,12
"嚴重特殊傳染性肺炎","新北市","女","否","55-59","2021/05/24",23,NA
"嚴重特殊傳染性肺炎","新北市","女","否","60-64","2021/05/22",38,37
"嚴重特殊傳染性肺炎","新北市","女","否","60-64","2021/05/24",19,NA
"嚴重特殊傳染性肺炎","新北市","女","否","65-69","2021/05/24",14,NA
"嚴重特殊傳染性肺炎","新北市","女","否","70+","2021/05/24",18,NA
"嚴重特殊傳染性肺炎","新北市","男","否","10-14","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","新北市","男","否","15-19","2021/05/24",3,NA
"嚴重特殊傳染性肺炎","新北市","男","否","20-24","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","新北市","男","否","25-29","2021/05/22",8,7
"嚴重特殊傳染性肺炎","新北市","男","否","25-29","2021/05/24",4,NA
"嚴重特殊傳染性肺炎","新北市","男","否","30-34","2021/05/24",12,NA
"嚴重特殊傳染性肺炎","新北市","男","否","35-39","2021/05/24",8,NA
"嚴重特殊傳染性肺炎","新北市","男","否","40-44","2021/05/20",3,2
"嚴重特殊傳染性肺炎","新北市","男","否","40-44","2021/05/24",9,NA
"嚴重特殊傳染性肺炎","新北市","男","否","45-49","2021/05/17",3,2
"嚴重特殊傳染性肺炎","新北市","男","否","45-49","2021/05/24",9,NA
"嚴重特殊傳染性肺炎","新北市","男","否","50-54","2021/05/22",23,22
"嚴重特殊傳染性肺炎","新北市","男","否","50-54","2021/05/23",6,5
"嚴重特殊傳染性肺炎","新北市","男","否","50-54","2021/05/24",15,NA
"嚴重特殊傳染性肺炎","新北市","男","否","55-59","2021/05/23",16,17
"嚴重特殊傳染性肺炎","新北市","男","否","55-59","2021/05/24",13,NA
"嚴重特殊傳染性肺炎","新北市","男","否","60-64","2021/05/24",17,NA
"嚴重特殊傳染性肺炎","新北市","男","否","65-69","2021/05/23",16,17
"嚴重特殊傳染性肺炎","新北市","男","否","65-69","2021/05/24",28,NA
"嚴重特殊傳染性肺炎","新北市","男","否","70+","2021/05/23",21,22
"嚴重特殊傳染性肺炎","新北市","男","否","70+","2021/05/24",19,NA
"嚴重特殊傳染性肺炎","新竹縣","男","否","65-69","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","15-19","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","20-24","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","40-44","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","45-49","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","50-54","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","65-69","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","70+","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","15-19","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","35-39","2021/05/24",2,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","45-49","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","50-54","2021/05/24",3,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","55-59","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","55-59","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","60-64","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","65-69","2021/05/24",4,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","70+","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","空值","男","是","25-29","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","空值","男","是","30-34","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","空值","男","是","35-39","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","空值","男","是","40-44","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","空值","男","是","55-59","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","苗栗縣","男","否","50-54","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","苗栗縣","男","否","60-64","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","雲林縣","女","否","25-29","2021/05/22",NA,1
"嚴重特殊傳染性肺炎","雲林縣","男","否","25-29","2021/05/22",NA,1
"嚴重特殊傳染性肺炎","高雄市","女","否","25-29","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","高雄市","女","否","50-54","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","高雄市","男","否","25-29","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","高雄市","男","否","3","2021/05/24",1,NA
"嚴重特殊傳染性肺炎","高雄市","男","否","55-59","2021/05/24",1,NA
